"sim","n","censoring","alpha_analytical","beta_analytical","gamma_analytical","time_analytical","se_alpha_analytical","se_beta_analytical","se_gamma_analytical"
1,500,"light",1.02629045181017,0.489542905665985,0.150983078004715,NA,0.0938245717844472,0.0163282387782401,0.107247926452407
2,500,"light",0.935109975692955,0.52046662603159,0.345100268009452,NA,0.110680216802489,0.0190359939672049,0.12586934619811
3,500,"light",1.00529824409396,0.518227865709139,0.145074103550402,NA,0.113885658258766,0.0199021805135197,0.119170066150318
4,500,"light",1.08075247099309,0.494863038780785,0.0424589481731663,NA,0.0872364368780396,0.0153148147759764,0.103979983931403
5,500,"light",0.955906885660467,0.525310994135947,0.258405752701573,NA,0.100981244537854,0.0171990922820309,0.114596152219482
6,500,"light",1.13686843592648,0.470694525640216,0.20088469177419,NA,0.0886405328307719,0.0148668396541274,0.101651866963174
7,500,"light",0.831083253441556,0.524895082832692,0.242951169044468,NA,0.0986337310657667,0.0159641349818027,0.108869162358377
8,500,"light",0.980307069638762,0.532012848296764,0.0912575557818965,NA,0.0931947375129167,0.0156113200910002,0.108583399854431
9,500,"light",1.17838344988831,0.488203310587418,0.12999815607824,NA,0.0907290295223034,0.0151557478927674,0.103831515494662
10,500,"light",1.0440092342009,0.496950567902608,0.18129964324463,NA,0.0995798623457403,0.0157312111389373,0.108347917537958
11,500,"light",1.18172713477004,0.469680899427299,0.203261900778237,NA,0.0923608754306784,0.0156199284449466,0.106213893231542
12,500,"light",0.871256078203703,0.517280650315501,0.464156521471739,NA,0.102357842721473,0.0174261470906798,0.114705502543898
13,500,"light",1.07423223433506,0.499684481015337,0.235339261273743,NA,0.10317110897718,0.0177045452787862,0.115038102756094
14,500,"light",1.11040851067805,0.483085875831488,0.246985431773427,NA,0.087389881834846,0.015476210255845,0.104301263488223
15,500,"light",1.12484097204432,0.498231213507161,0.101934732549341,NA,0.100201236866957,0.0154507324615683,0.111747259977634
16,500,"light",1.13830917242005,0.499226798071324,0.021873703383078,NA,0.0987512132863729,0.0175764462375581,0.105372278819924
17,500,"light",0.915367584152254,0.524957981790469,0.2869004288476,NA,0.0960678887554226,0.0148468128501803,0.11073950246958
18,500,"light",1.00685011474803,0.505552380061229,0.269889290504701,NA,0.102300096138124,0.0184766682419881,0.113230241927535
19,500,"light",1.00729810873862,0.480190538387601,0.278831021294865,NA,0.0863438563750725,0.0127011363416716,0.100607990177731
20,500,"light",1.07981061991999,0.488181494767023,0.173705996247902,NA,0.104046142149884,0.0166837943708395,0.116278719346669
21,500,"light",1.06291473844124,0.494102484641433,0.265669942171998,NA,0.0924334520979579,0.0142221792023491,0.104023486360241
22,500,"light",1.01001576810389,0.502568325700097,0.296792227558938,NA,0.0934107458807387,0.0149121413017382,0.112229590373175
23,500,"light",1.02233706727321,0.497777364241572,0.195766204435994,NA,0.0943511899365961,0.0148555786704686,0.108224389176408
24,500,"light",0.953031708525737,0.496413728120291,0.275069320124407,NA,0.0958052359872717,0.0155908396322826,0.108630026698835
25,500,"light",1.00584830812055,0.503359638504525,0.309089454214467,NA,0.0908738602553859,0.0148883971981853,0.0983920388454264
26,500,"light",1.00170079105894,0.477680946601173,0.170716032224536,NA,0.0917927569546702,0.0151904463483193,0.104224855704618
27,500,"light",1.0448602151296,0.486642376635911,0.263258545227355,NA,0.0976783636184415,0.0148455209525428,0.111080330096299
28,500,"light",1.04586645306293,0.491147790556315,0.0873402381428902,NA,0.0868030703062184,0.0146620226326701,0.103606597476634
29,500,"light",0.911783141067284,0.517405592057355,0.18376328686799,NA,0.096835030304421,0.0163277127382283,0.104552134863104
30,500,"light",1.08265840485207,0.499876452999279,0.0569056665251084,NA,0.0907284038224378,0.0148454901021378,0.109649704503965
31,500,"light",0.928671334855376,0.504009286681921,0.240649011373567,NA,0.093880048200644,0.0143981150035005,0.105540629371214
32,500,"light",1.08343213230766,0.47245701389112,0.302595903155089,NA,0.0910213048992733,0.0169851759548395,0.102180247179322
33,500,"light",0.890296693420055,0.529093497898511,0.216990165965024,NA,0.0986286125353555,0.0173262284437444,0.112228869066065
34,500,"light",1.13772715712546,0.475519300217177,0.0868033159978721,NA,0.0905044387018664,0.015795797439699,0.105143671288541
35,500,"light",1.09244052323926,0.499740957498587,0.267410628237161,NA,0.0945845712266996,0.0153818372881034,0.106587833906861
36,500,"light",1.01814305065035,0.48586359508924,0.237939414552808,NA,0.090350737708144,0.0131626409785925,0.104209287621001
37,500,"light",0.809448036723527,0.541028087481864,0.269368239335014,NA,0.0969076000581014,0.0169693787173005,0.110122613251618
38,500,"light",1.04826244142357,0.488418547042941,0.232276698951392,NA,0.0950462028673335,0.0167812972129021,0.10655381355071
39,500,"light",1.05705519924812,0.495790017181257,0.207975370727083,NA,0.0903590306152321,0.0160193321792953,0.103375428507982
40,500,"light",1.00289516620714,0.493534114228804,0.108229999890616,NA,0.0892337725087439,0.0146943786146203,0.1023210649528
41,500,"light",0.932235009107209,0.513850313078368,0.23996624900665,NA,0.115296031460998,0.0205548728723222,0.128128078997078
42,500,"light",0.856988478885309,0.531798439551098,0.354260201231571,NA,0.103485799765915,0.0181580300070882,0.116232212271454
43,500,"light",0.94461262207772,0.499857533533458,0.315386137477968,NA,0.0918406269298133,0.0153156047304688,0.101691705461371
44,500,"light",1.02626107237506,0.480378916462973,0.314758665108673,NA,0.0884646306563581,0.0164740308789794,0.105770671955832
45,500,"light",1.07648034980181,0.499558210696031,0.170933752262219,NA,0.0959461724107762,0.0167321859863321,0.112792630325932
46,500,"light",1.07011014802833,0.489422880495723,0.31375512428923,NA,0.0993090244621344,0.0164855482066448,0.105083275457754
47,500,"light",0.885970943639863,0.491997959235896,0.255557521513656,NA,0.095237233783995,0.0140929547131107,0.109204616743252
48,500,"light",0.92955993530175,0.500062294507266,0.230226608491795,NA,0.0922769230100822,0.015281770283494,0.102715121863523
49,500,"light",0.891818834160603,0.525991560166108,0.142831850119144,NA,0.100630252293384,0.0162394058125312,0.117958810698936
50,500,"light",0.96192306210424,0.514517235912166,0.233686071327081,NA,0.100154207191806,0.0172489776128816,0.112368552142628
51,500,"light",1.1333699925132,0.466034491735392,0.415494296100702,NA,0.102452057242293,0.018404043363309,0.114379025134976
52,500,"light",0.901928408236798,0.527985500831952,0.154502796689481,NA,0.0973133077051296,0.0159702593259053,0.106194547477214
53,500,"light",1.03920528195519,0.49528189094003,0.171781237632699,NA,0.107261448141366,0.0171747934568147,0.122907987696168
54,500,"light",1.11618485235946,0.481680914292047,0.230736055047751,NA,0.0932934632341287,0.0163009802256882,0.108920412610259
55,500,"light",1.21482906778051,0.467532055593968,0.209790796901913,NA,0.0918209160933876,0.0152769059429128,0.107064478089853
56,500,"light",0.996452818760979,0.497050982113032,0.279816841926977,NA,0.0966996998880286,0.0160929000972346,0.109441593193678
57,500,"light",1.08369969695888,0.489343884689763,0.231258806881642,NA,0.0917274334804032,0.0142363610266427,0.104511816691215
58,500,"light",1.05897153131051,0.470720196368653,0.393073841480957,NA,0.0894597409258574,0.0144312423351724,0.100094833999317
59,500,"light",1.0314504480071,0.510184285815074,0.20922508253485,NA,0.101331902089818,0.015747511565871,0.116478013478256
60,500,"light",1.02560088876155,0.476712122097313,0.28815308812732,NA,0.0966976108414757,0.0150107006290897,0.111635027142425
61,500,"light",0.984502472326974,0.479405252132689,0.320377046250004,NA,0.0945945655094379,0.0148822772688069,0.110337795722535
62,500,"light",0.947080923007282,0.525952891612914,0.27870657778779,NA,0.109061633738265,0.0181681760207299,0.114963011934274
63,500,"light",0.990739664839636,0.503442049351742,0.235575994689117,NA,0.0886338458982956,0.0143472495319776,0.105949821115504
64,500,"light",0.823544753491633,0.532388685796178,0.292496461930652,NA,0.088384106557834,0.0142111260465724,0.0962383952368247
65,500,"light",0.904748235763906,0.505099183430543,0.182173926166196,NA,0.102425146954011,0.0154374682783587,0.119088660984437
66,500,"light",0.969556695713764,0.475211220630073,0.507465005701822,NA,0.107892883949506,0.0179800449161868,0.111403176176043
67,500,"light",0.97310851354636,0.503062732230064,0.374268146710163,NA,0.0937768002792272,0.0156702995124525,0.103826880678338
68,500,"light",0.901551928357726,0.497961281619119,0.345971936121703,NA,0.0875663437498769,0.0136205152603412,0.106318050319529
69,500,"light",0.943049491328044,0.479793610301174,0.453671947850192,NA,0.0997437001374631,0.0163804680527921,0.113570731515973
70,500,"light",0.988584553714419,0.505464793129931,0.298790636830521,NA,0.0909985314509892,0.0165617293714882,0.100683113117999
71,500,"light",1.15151892590225,0.475119696241873,0.285838057563413,NA,0.105588631023435,0.0187409271281201,0.111735658795658
72,500,"light",0.987044549537976,0.502900343266639,0.329996120143328,NA,0.0999726332031429,0.0149163235079154,0.112599696893172
73,500,"light",0.792680426729868,0.544524506471577,0.164046009225572,NA,0.0921155702830266,0.0161273734184382,0.10594996213981
74,500,"light",1.0248477428154,0.502209786925633,0.317144532122103,NA,0.0971977645708405,0.0159154380758189,0.108587436894519
75,500,"light",0.942071845193322,0.51963719061084,0.200087763042055,NA,0.0924929272830077,0.0160428583559815,0.104535890940464
76,500,"light",1.06148281467524,0.476485571383103,0.216168407436517,NA,0.0875257155244113,0.0138227559397253,0.100192994438084
77,500,"light",1.08071117815865,0.487488976599742,0.357464293973394,NA,0.106442568230631,0.0181557985115348,0.121914191151786
78,500,"light",0.892742687408385,0.539754180707204,0.229980097860682,NA,0.105926528166666,0.0165328083912098,0.113477555106893
79,500,"light",1.01440450241537,0.491122497656444,0.309686123958228,NA,0.0950763297891326,0.0148713825811655,0.103506424459849
80,500,"light",0.964451000912126,0.514041569425203,0.156304883889181,NA,0.0868047041230404,0.0150878853305834,0.0967514671623559
81,500,"light",0.927926391595571,0.51785182195024,0.258868253466624,NA,0.0971343136555824,0.0165190768120498,0.112245190570888
82,500,"light",1.04839783616752,0.50806452757578,0.0287501692905389,NA,0.0990624318757111,0.0161322755433764,0.108655705796662
83,500,"light",1.19910369394223,0.47409613489894,0.196069797815035,NA,0.0914845565747112,0.0144580746146571,0.10095192159816
84,500,"light",1.01599239862166,0.505249082365466,0.250008584280534,NA,0.0996378953856085,0.0156037035685548,0.113832376094717
85,500,"light",1.12486346497695,0.46513147027483,0.249275864005644,NA,0.0963616758715547,0.0162187575772287,0.111033119948017
86,500,"light",0.880306165800664,0.487647522476646,0.474717434745672,NA,0.0948355433346446,0.0153026584967263,0.110150209588396
87,500,"light",0.969271600640509,0.516029621867391,0.139357994202831,NA,0.0949048601803327,0.0157125892401073,0.105346856696957
