"sim","alpha_lognorm","beta_lognorm","gamma_lognorm","se_alpha_lognorm","se_beta_lognorm","se_gamma_lognorm","aic_lognorm","bic_lognorm","alpha_loglog","beta_loglog","gamma_loglog","se_alpha_loglog","se_beta_loglog","se_gamma_loglog","aic_loglog","bic_loglog","alpha_expo","beta_expo","gamma_expo","se_alpha_expo","se_beta_expo","se_gamma_expo","aic_expo","bic_expo","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull","aic_weibull","bic_weibull","alpha_pwe","beta_pwe","gamma_pwe","se_alpha_pwe","se_beta_pwe","se_gamma_pwe","aic_pwe","bic_pwe"
1,0.924553890747324,0.550864499264529,0.275244750387632,0.129271819661532,0.0841889316861117,0.0978877850156396,1272.80317720895,1287.5264430459,0.93935535738602,0.5316276354702,0.277339646960535,0.128292659618302,0.0825239083081143,0.0981499293682884,1292.81837863199,1307.54164446893,0.983407713550443,0.449854441521355,0.292787834483175,0.117333972956226,0.0648234513287315,0.0980013221923374,1943.46715453725,1953.28266509521,0.912154606789673,0.564442097151886,0.275081943499783,0.131049290770847,0.0855818414354691,0.0978429474580023,1378.95517641073,1393.67844224768,0.921557677968637,0.553232253971116,0.275222969126792,0.129634825844185,0.0843734640861269,0.0982812469373458,1392.18935469937,1446.17466276818
2,1.01897846493647,0.530092680344439,0.222190237729982,0.122153709883457,0.0820161319358777,0.102813692193417,1272.59573221112,1287.31899804807,1.02986760983832,0.517344911730198,0.222153902029881,0.120832399718914,0.0797350843262355,0.102511735728842,1283.87772078125,1298.6009866182,1.11456925820774,0.416416361886457,0.205034528289002,0.113089626044159,0.0664580433422812,0.105606067454002,2004.88717963413,2014.70269019209,1.01641892541538,0.534193969480228,0.217179962567818,0.122953901354772,0.0833277094061966,0.105703093071164,1423.25698617694,1437.98025201388,1.02563505708125,0.524096669402012,0.215922742077042,0.122858648443253,0.0821614872864096,0.104606461008889,1402.53121642646,1456.51652449526
3,1.05068815376816,0.437265250369915,0.282826854282554,0.124298521617957,0.0862805319551269,0.0993415839448362,1198.31025266601,1213.03351850296,1.06162784976967,0.424204751541295,0.283772945852455,0.126096306512821,0.086116716666123,0.0985524369951235,1216.93835887785,1231.6616247148,1.10802077361621,0.358104975751372,0.286019654878294,0.121434589997458,0.079131162016143,0.0992172377823266,1954.6050281899,1964.42053874786,1.04112318794569,0.444625206602221,0.286203609832704,0.123293994723236,0.0862224401301804,0.0999628734758722,1306.21326116644,1320.93652700339,1.04642453148862,0.440334081215935,0.284169998937842,0.12366017865889,0.0860999956251666,0.0997862872155922,1347.00457706687,1400.98988513567
4,0.952531452781693,0.586069835982869,0.28058444997145,0.0957027793134131,0.074577822550472,0.0898063291002024,1190.88244028951,1205.60570612645,0.97313305451766,0.563118900584723,0.282929720717525,0.0947945626925729,0.0729316483993345,0.0898875764881844,1204.7211361514,1219.44440198835,1.07400837171432,0.439984713930928,0.287949990513285,0.096572268615125,0.0676783387986518,0.0900121316671426,1960.14390557412,1969.95941613209,0.931008752116059,0.605628234687947,0.280663889375735,0.0964818712770653,0.0759223451927406,0.0883734318738629,1297.80778527511,1312.53105111206,0.948207863109329,0.588718327365269,0.281897646267492,0.0953687339765575,0.0747823693854178,0.0887301100138924,1341.92827708935,1395.91358515816
5,0.926632000398115,0.682776765700703,0.11916875184771,0.115062476619305,0.0811913963534129,0.0890207803171889,1316.70867242487,1331.43193826182,0.962722749021406,0.645680554223284,0.121560864689518,0.115340215541325,0.0819184891888437,0.0893984690934943,1320.57438870533,1335.29765454228,1.04100316101025,0.543309970656188,0.115278968197993,0.106561871880476,0.0695985529895913,0.0932026059416753,2018.2865483109,2028.10205886886,0.898794874880161,0.708283670862859,0.120828810543569,0.117102640940056,0.0834160777174149,0.0888124117322766,1456.84716440551,1471.57043024246,0.921651610241192,0.688020468572705,0.116904002127728,0.114844422934898,0.0813516133551137,0.0892510425451461,1437.15336822511,1491.13867629391
6,1.16189318200656,0.39659723571283,0.210501995260176,0.107896720503503,0.0800312762406958,0.101272828947292,1275.215673389,1289.93893922595,1.1679753679902,0.38880548161547,0.211228982386204,0.106470357124024,0.0771497276804454,0.101519439247419,1277.86725883274,1292.59052466969,1.2239177936458,0.317009038063725,0.210488033971378,0.103292662732713,0.0641297364213742,0.103233375318058,1980.58477125167,1990.40028180963,1.16200453118099,0.397615873855481,0.208678685268578,0.109522792440258,0.0815635383689937,0.10101142330331,1409.79913618129,1424.52240201824,1.16283975860501,0.395874946671875,0.208328811667734,0.10756699257486,0.0788394294056981,0.101227470801618,1385.25724609821,1439.24255416702
7,1.0658947200376,0.535817924772879,0.0732212709304424,0.138954236062437,0.10549904031506,0.121422205318125,1213.15361856647,1227.87688440342,1.09261872672532,0.508425971407845,0.0738742969102853,0.137421752666532,0.103441677102543,0.121727085117919,1226.45462591838,1241.17789175533,1.16337256696574,0.412090837192655,0.0796876567160699,0.129492167813303,0.0871873316603587,0.124051923502154,1955.1483553067,1964.96386586467,1.04733131664364,0.551865627020674,0.0746774058785907,0.140842626488887,0.106851678233546,0.120487380819151,1375.15441984002,1389.87768567697,1.06977080261079,0.530401328417891,0.0729788813446992,0.139050608913027,0.106757810659734,0.120998551791587,1357.32665483701,1411.31196290582
8,1.08107908404649,0.433436649590598,0.268874739015556,0.132232539275842,0.0896511817629197,0.111862243001463,1242.08159532301,1256.80486115996,1.0857241268243,0.426844432014974,0.268768316234892,0.129380333362428,0.0871365845906025,0.111469849240476,1250.70826137279,1265.43152720974,1.14852142111823,0.339608732919324,0.269188145647001,0.123458820700705,0.0716178096056685,0.113760220090053,1947.28318975951,1957.09870031748,1.07448515231905,0.438054052783293,0.272924060553296,0.137627896341318,0.0934507557414623,0.111938253706711,1349.97653362454,1364.69979946149,1.08031278276114,0.433636022435757,0.270071895271498,0.132614554675197,0.0900897807897067,0.111373697292822,1343.59971780885,1397.58502587765
9,0.923723848931449,0.516304189705756,0.293649877382197,0.149281870475753,0.0949840549954978,0.0958692384669597,1269.079281598,1283.80254743495,0.93634522671499,0.50108034704656,0.294590636770308,0.142557742517432,0.0878671070988733,0.0955772239397256,1281.80941196562,1296.53267780256,0.990444930004331,0.418209170848967,0.296911682936888,0.141951968563394,0.0796427242786074,0.0958140882066453,1971.34405747354,1981.1595680315,0.909970350224998,0.527510511797915,0.296856977393682,0.154248201510112,0.0997053963098356,0.0963608155930862,1373.6156084292,1388.33887426614,0.921464773909934,0.517064791170566,0.294990254950598,0.148986905555471,0.0951531257622042,0.0960502171103556,1393.51964367146,1447.50495174026
10,0.985405586762274,0.500326007875994,0.240839876892833,0.128898424357817,0.0981825736100534,0.0860691944391497,1311.39366086223,1326.11692669918,1.01072265126932,0.474075939605304,0.242664670379833,0.125982374228735,0.0944454149300602,0.0867191028902577,1328.72739801459,1343.45066385154,1.10588418118133,0.36398711855057,0.246023423638858,0.115793424884063,0.078548525879906,0.0882089226463603,1985.86221567647,1995.67772623443,0.968305107800244,0.515175160051311,0.240107203501721,0.131136271664705,0.10140153921455,0.0851761542401419,1437.06179011785,1451.7850559548,0.980965442982357,0.505157014381582,0.238286494025273,0.129531945693748,0.0994992158250132,0.0860083279837242,1443.76706381584,1497.75237188465
11,0.985467125029942,0.502742718472775,0.292848358386275,0.0968567235698472,0.0795774366982892,0.106845336348468,1269.85909770337,1284.58236354032,1.00683066920079,0.47942171347001,0.297602203011064,0.0958562483211588,0.077714897234702,0.106310986857085,1267.73496603818,1282.45823187512,1.05207939062146,0.407367881119062,0.299555650258886,0.0871285199712514,0.0682866075934603,0.10529181372385,1980.49814067294,1990.31365123091,0.965712052647051,0.523679183738639,0.287477304590468,0.0981387493988228,0.080322410370657,0.107659012408649,1375.23767692674,1389.96094276368,0.986106464491049,0.503045258716362,0.290878219151924,0.0988286249751638,0.0804289741631104,0.10750559408638,1389.67904638328,1443.66435445209
12,1.06912075565548,0.470340323766744,0.194017032524111,0.105397910521118,0.0837401480735813,0.0900935501402427,1262.39105564307,1277.11432148002,1.07376816798364,0.462022990501581,0.196354273093601,0.10153974806159,0.078873118054332,0.089948818614656,1278.55064464026,1293.2739104772,1.11548960727101,0.390977003376384,0.209523534805083,0.0877569030772923,0.0641662451996395,0.0868814311459733,1983.40716176411,1993.22267232208,1.0650975498734,0.47566049702778,0.190055364802139,0.109091302043542,0.0875380290530747,0.0916737845277919,1390.47721298074,1405.20047881768,1.0690435027827,0.470826996967313,0.191909937539472,0.106166095868823,0.0842599514033909,0.0913784209818378,1392.82143770286,1446.80674577167
13,1.11615117340438,0.395834862357516,0.202585834938892,0.110693039981118,0.0804116730833265,0.0806060818743575,1240.28901595735,1255.0122817943,1.1304848472858,0.379240713782398,0.204487927908757,0.103303660322963,0.0724518169976949,0.0800788951339122,1255.30841076102,1270.03167659796,1.15885268814932,0.327750968189775,0.204304204787859,0.0962872670535292,0.0599809798462364,0.0794382187736761,1965.50864212633,1975.3241526843,1.10813286217635,0.402418418875594,0.202735454025644,0.115200253043388,0.0845513699771547,0.0815183661993023,1411.37515692196,1426.0984227589,1.11508196892424,0.395750798549064,0.201884839468126,0.110846431754699,0.0797078044101901,0.0811529432595095,1382.64142528955,1436.62673335836
14,0.896828421054661,0.584477740370257,0.209045010681186,0.129094458621223,0.0874212590815207,0.101534411789037,1283.65783263484,1298.38109847178,0.920275351890737,0.558443604892929,0.211758315668586,0.123566449322959,0.0801894831190371,0.100474953138265,1299.47834921164,1314.20161504858,0.9871616070607,0.467726743258105,0.206764492618219,0.127045436495478,0.0764702126052884,0.103548980033301,1984.0044020103,1993.81991256826,0.883102078535915,0.596896588523125,0.206913279711835,0.13483038501402,0.0904990829110087,0.101460301950808,1442.13779871235,1456.8610645493,0.900492548600773,0.579400460008772,0.207665810928469,0.129356737836016,0.0847245526313017,0.101490879659255,1422.62594982011,1476.61125788891
15,0.858742648813058,0.56902063842187,0.222105312882618,0.0972267080751193,0.079627258585509,0.0956424207881198,1357.39608408702,1372.11934992396,0.891821811639825,0.535760726514519,0.224122599121499,0.0950299464296843,0.0750146249548503,0.0958921727101305,1367.97259308726,1382.69585892421,0.973912107713012,0.441924134886039,0.215882861543009,0.0927530080101013,0.0696180855189132,0.101060024544077,2028.07248316679,2037.88799372475,0.834252740927359,0.590787677569809,0.224784233456905,0.0994509320981454,0.0831237939264135,0.0960525029589755,1461.47326217888,1476.19652801583,0.858741614635023,0.569112698420586,0.221179934228341,0.0972877867112183,0.0793606824064231,0.0961453974693032,1467.04999380672,1521.03530187552
16,0.948826692805915,0.547586152318614,0.240389594548197,0.117158337424963,0.101588963036627,0.0744957770086817,1273.33007340131,1288.05333923826,0.95602505467927,0.537839419965755,0.241043306300475,0.119007196593886,0.102021605524198,0.0744331096713827,1285.97550047753,1300.69876631447,1.00190183171548,0.466773544041707,0.239175164397136,0.118813234518761,0.093288922370704,0.0728697514442022,1981.48066778065,1991.29617833862,0.947196914856845,0.553281872975307,0.231068979061076,0.116035563588701,0.101701191807305,0.0751603817751514,1357.76718987524,1372.49045571218,0.951758878720719,0.548368845918031,0.233838255012846,0.117673845716392,0.102965922213777,0.0749033887610879,1398.52937692557,1452.51468499438
17,1.04386140752482,0.531605945940312,0.168371791338149,0.11426913720231,0.102865249317529,0.0816130796444136,1241.45486260072,1256.17812843766,1.06161477578175,0.509292799092956,0.171726795562449,0.114956386408612,0.102005506691255,0.0807055872485932,1266.83917651973,1281.56244235668,1.08151643694972,0.454216505434475,0.172690832075136,0.113682616238359,0.0927337108864386,0.0784292562188778,1953.04232673021,1962.85783728817,1.02867411132896,0.546365768243708,0.166716701403718,0.115668888318443,0.103609609439103,0.0824375740279846,1370.87983951464,1385.60310535159,1.0382742259294,0.534718337315595,0.169124807063444,0.11521090935774,0.102972692415085,0.0815317507812364,1399.26384837576,1453.24915644457
18,0.892342036279648,0.583485283257491,0.251447480144082,0.102970505994758,0.080452423778311,0.0929678029319893,1323.40611628274,1338.12938211968,0.907131457757498,0.5664759108572,0.251574616688812,0.102644427195777,0.0806858277095593,0.0927514700947772,1344.01639022258,1358.73965605952,1.01884810848921,0.443405288660192,0.247535591982708,0.098009947976666,0.0709210493270484,0.0908332689563129,2029.72516182611,2039.54067238407,0.878483403305244,0.596179531649037,0.252951477478066,0.102835956738776,0.079602042456433,0.0935821247550871,1386.31584289208,1401.03910872903,0.883539937453368,0.591384621011194,0.253187342622564,0.103082750544951,0.0798312814775522,0.0933332192210122,1441.39883507979,1495.38414314859
19,1.09831334777359,0.42680989304471,0.275306457120293,0.103570907346835,0.0769187141236839,0.0879109727055141,1213.48010468814,1228.20337052509,1.10840905613472,0.414409826316037,0.277559255103848,0.105555073365615,0.0779189899516472,0.0872566473742368,1232.14775600071,1246.87102183766,1.15122793545788,0.347851397938828,0.286368857734422,0.104105361598541,0.0693759689217508,0.0885827866080993,1965.69432124587,1975.50983180383,1.09290479825781,0.431059184684346,0.276455498416327,0.10368899690648,0.0771306163643401,0.0883403492835554,1334.37330337249,1349.09656920944,1.09669988605243,0.426496351011785,0.277251665222559,0.104032869769841,0.0771396181783287,0.087804037314742,1355.74649629656,1409.73180436537
20,0.883221880848238,0.589071109437482,0.228307269906128,0.131219618250886,0.0815648157297435,0.132109278354982,1291.0240583022,1305.74732413915,0.904576524962442,0.565315256684671,0.230155327662282,0.130702083362788,0.0793742099148244,0.131775395825818,1314.66936674447,1329.39263258141,0.993367903889917,0.456362788499453,0.236554064618081,0.128027386372515,0.0671530993062623,0.129546387557569,1978.52094443012,1988.33645498809,0.871688674696253,0.600811698269053,0.226449754146322,0.13320794333769,0.084157302566042,0.132933124004729,1410.96614772487,1425.68941356181,0.88131763081529,0.590997511375356,0.22649664646232,0.133538198792765,0.0840017015050167,0.132784482643849,1446.39900287128,1500.38431094009
